ID	Marker	Info
1688745542251452	MCM5 ENSG00000100297	s_genes
1688745542251452	PCNA ENSG00000132646	s_genes
1688745542251452	TYMS ENSG00000176890	s_genes
1688745542251452	FEN1 ENSG00000168496	s_genes
1688745542251452	MCM2 ENSG00000073111	s_genes
1688745542251452	MCM4 ENSG00000104738	s_genes
1688745542251452	RRM1 ENSG00000167325	s_genes
1688745542251452	UNG ENSG00000076248	s_genes
1688745542251452	GINS2 ENSG00000131153	s_genes
1688745542251452	MCM6 ENSG00000076003	s_genes
1688745542251452	CDCA7 ENSG00000144354	s_genes
1688745542251452	DTL ENSG00000143476	s_genes
1688745542251452	PRIM1 ENSG00000198056	s_genes
1688745542251452	UHRF1 ENSG00000276043	s_genes
1688745542251452	HELLS ENSG00000119969	s_genes
1688745542251452	RFC2 ENSG00000049541	s_genes
1688745542251452	RPA2 ENSG00000117748	s_genes
1688745542251452	NASP ENSG00000132780	s_genes
1688745542251452	RAD51AP1 ENSG00000111247	s_genes
1688745542251452	GMNN ENSG00000112312	s_genes
1688745542251452	WDR76 ENSG00000092470	s_genes
1688745542251452	SLBP ENSG00000163950	s_genes
1688745542251452	CCNE2 ENSG00000175305	s_genes
1688745542251452	UBR7 ENSG00000012963	s_genes
1688745542251452	POLD3 ENSG00000077514	s_genes
1688745542251452	MSH2 ENSG00000095002	s_genes
1688745542251452	ATAD2 ENSG00000156802	s_genes
1688745542251452	RAD51 ENSG00000051180	s_genes
1688745542251452	RRM2 ENSG00000171848	s_genes
1688745542251452	CDC45 ENSG00000093009	s_genes
1688745542251452	CDC6 ENSG00000094804	s_genes
1688745542251452	EXO1 ENSG00000174371	s_genes
1688745542251452	TIPIN ENSG00000075131	s_genes
1688745542251452	DSCC1 ENSG00000136982	s_genes
1688745542251452	BLM ENSG00000197299	s_genes
1688745542251452	CASP8AP2 ENSG00000118412	s_genes
1688745542251452	USP1 ENSG00000162607	s_genes
1688745542251452	CLSPN ENSG00000092853	s_genes
1688745542251452	POLA1 ENSG00000101868	s_genes
1688745542251452	CHAF1B ENSG00000159259	s_genes
1688745542251452	BRIP1 ENSG00000136492	s_genes
1688745542251452	E2F8 ENSG00000129173	s_genes
1688745542251452	HMGB2 ENSG00000164104	g2m_genes
1688745542251452	CDK1 ENSG00000170312	g2m_genes
1688745542251452	NUSAP1 ENSG00000137804	g2m_genes
1688745542251452	UBE2C ENSG00000175063	g2m_genes
1688745542251452	BIRC5 ENSG00000089685	g2m_genes
1688745542251452	TPX2 ENSG00000088325	g2m_genes
1688745542251452	TOP2A ENSG00000131747	g2m_genes
1688745542251452	NDC80 ENSG00000080986	g2m_genes
1688745542251452	CKS2 ENSG00000123975	g2m_genes
1688745542251452	NUF2 ENSG00000143228	g2m_genes
1688745542251452	CKS1B ENSG00000173207	g2m_genes
1688745542251452	MKI67 ENSG00000148773	g2m_genes
1688745542251452	TMPO ENSG00000120802	g2m_genes
1688745542251452	CENPF ENSG00000117724	g2m_genes
1688745542251452	TACC3 ENSG00000013810	g2m_genes
1688745542251452	SMC4 ENSG00000113810	g2m_genes
1688745542251452	CCNB2 ENSG00000157456	g2m_genes
1688745542251452	CKAP2L ENSG00000169607	g2m_genes
1688745542251452	CKAP2 ENSG00000136108	g2m_genes
1688745542251452	AURKB ENSG00000178999	g2m_genes
1688745542251452	BUB1 ENSG00000169679	g2m_genes
1688745542251452	KIF11 ENSG00000138160	g2m_genes
1688745542251452	ANP32E ENSG00000143401	g2m_genes
1688745542251452	TUBB4B ENSG00000188229	g2m_genes
1688745542251452	GTSE1 ENSG00000075218	g2m_genes
1688745542251452	KIF20B ENSG00000138182	g2m_genes
1688745542251452	HJURP ENSG00000123485	g2m_genes
1688745542251452	CDCA3 ENSG00000111665	g2m_genes
1688745542251452	CDC20 ENSG00000117399	g2m_genes
1688745542251452	TTK ENSG00000112742	g2m_genes
1688745542251452	CDC25C ENSG00000158402	g2m_genes
1688745542251452	KIF2C ENSG00000142945	g2m_genes
1688745542251452	RANGAP1 ENSG00000100401	g2m_genes
1688745542251452	NCAPD2 ENSG00000010292	g2m_genes
1688745542251452	DLGAP5 ENSG00000126787	g2m_genes
1688745542251452	CDCA2 ENSG00000184661	g2m_genes
1688745542251452	CDCA8 ENSG00000134690	g2m_genes
1688745542251452	ECT2 ENSG00000114346	g2m_genes
1688745542251452	KIF23 ENSG00000137807	g2m_genes
1688745542251452	HMMR ENSG00000072571	g2m_genes
1688745542251452	AURKA ENSG00000087586	g2m_genes
1688745542251452	PSRC1 ENSG00000134222	g2m_genes
1688745542251452	ANLN ENSG00000011426	g2m_genes
1688745542251452	LBR ENSG00000143815	g2m_genes
1688745542251452	CKAP5 ENSG00000175216	g2m_genes
1688745542251452	CENPE ENSG00000138778	g2m_genes
1688745542251452	CTCF ENSG00000102974	g2m_genes
1688745542251452	NEK2 ENSG00000117650	g2m_genes
1688745542251452	G2E3 ENSG00000092140	g2m_genes
1688745542251452	GAS2L3 ENSG00000139354	g2m_genes
1688745542251452	CBX5 ENSG00000094916	g2m_genes
1688745542251452	CENPA ENSG00000115163	g2m_genes
1688745542379169	MT-TF ENSG00000210049	mito
1688745542379169	MT-RNR1 ENSG00000211459	mito
1688745542379169	MT-TV ENSG00000210077	mito
1688745542379169	MT-RNR2 ENSG00000210082	mito
1688745542379169	MT-TL1 ENSG00000209082	mito
1688745542379169	MT-ND1 ENSG00000198888	mito
1688745542379169	MT-TI ENSG00000210100	mito
1688745542379169	MT-TQ ENSG00000210107	mito
1688745542379169	MT-TM ENSG00000210112	mito
